Venue,City,State,POI,Category,Address,Distance From Venue
The Horseshoe Tavern,Toronto,Ontario,Native Women in the Arts,Museum,401 Richmond St W,581.0
The Horseshoe Tavern,Toronto,Ontario,The Grange,Museum,317 Dundas St W,955.0
The Garrison,Toronto,Ontario,The Grange,Museum,317 Dundas St W,754.0
Rogers Arena,Vancouver,British Columbia,,,,
Scotiabank Centre,Halifax,Nova Scotia,Centre des arts actuels Skol,Museum,372 Sainte-Catherine St W,79.0
Scotiabank Centre,Halifax,Nova Scotia,Musée Grévin - Centre Eaton,Museum,705 Sainte-Catherine Rue W,523.0
Edmonton Convention Centre,Edmonton,Alberta,Canadian Broadcasting Centre,Museum,250 Front St W,834.0
Edmonton Convention Centre,Edmonton,Alberta,Canadian Exhibition Centre,Museum,255 Front St W,911.0
Club SAW,Ottawa,Ontario,,,,
River Cree Resort & Casino,Enoch,Alberta,Olympic and Paralympic Village,"Museum,Playground",Vancouver BC,774.0
Scotiabank Arena,Toronto,Ontario,,,,
Théâtre Manuvie (Formerly L'Etoile),Brossard,Quebec,,,,
Imperial Du Quebec,Quebec,Quebec,Musée Village du Patrimoine de Cumberland,Museum,2940 Queen St,498.0
The Fox Cabaret,Vancouver,British Columbia,,,,
The Baby G,Toronto,Ontario,Toronto Dominion Gallery of Inuit Art,Museum,79 Wellington St W,308.0
The Baby G,Toronto,Ontario,Art by Gloria Green,Museum,131 Bloor St W,685.0
Mary Brown's Centre,St. Johns,Newfoundland and Labrador,,,,
Centre Bell,Montreal,Quebec,,,,
National Arts Centre / Centre national des Arts,Ottawa,Ontario,,,,
Algonquin Commons Theatre,Nepean,Ontario,,,,
Scotiabank Saddledome,Calgary,Alberta,,,,
Bronson Centre Theatre,Ottawa,Ontario,Canadian Centre for Architecture,Museum,1920 Baile Rue,872.0
Bronson Centre Theatre,Ottawa,Ontario,Musée Grévin - Centre Eaton,Museum,705 Sainte-Catherine Rue W,724.0
Canadian Tire Centre,Kanata,Ontario,Korean Cultural Centre Canada,"Museum,Community Center,Organization",150 Elgin St,307.0
Canadian Tire Centre,Kanata,Ontario,Canadian Museum of Contemporary Photography,Museum,1 Rideau Canal,344.0
Canadian Tire Centre,Kanata,Ontario,Canadian Museum of Contemporary Photography,Museum,380 Sussex Dr,856.0
Canadian Tire Centre,Kanata,Ontario,Canadian War Museum,Museum,330 Sussex Dr,974.0
Abbotsford Arts Centre,Abbotsford,British Columbia,,,,
Abbotsford Centre,Abbotsford,British Columbia,National Music Centre,Museum,134 11 Ave SE,671.0
Abbotsford Centre,Abbotsford,British Columbia,YouthLink Calgary Police Interpretive Centre,Museum,5111 47 St NE,911.0
Abbotsford Centre,Abbotsford,British Columbia,"Studio Bell, home of the National Music Centre","Museum,Entertainment Service",850 4 St SE,665.0
Abbotsford Centre,Abbotsford,British Columbia,YouthLink Calgary Police Interpretive Centre,Museum,316 7 Ave NE,936.0
Great Canadian Casino Vancouver,Coquitlam,British Columbia,Canadian War Museum | Musée Canadien de la Guerre,History Museum,1 Vimy Pl,914.0
The Theatre at Great Canadian Casino Resort Toronto,Toronto,Ontario,,,,
Fairmount Theatre,Montreal,Quebec,,,,
DPRTMNT,Toronto,Ontario,,,,
Drake Underground,Toronto,Ontario,,,,
The WISE Hall,Vancouver,British Columbia,Canadian Horse Racing Hall of Fame,History Museum,555 Rexdale Blvd,326.0
Rio Theatre,Vancouver,British Columbia,Oriental Charm Culture Enterprises Inc,Museum,77 Fairmount Ave O,378.0
Rio Theatre,Vancouver,British Columbia,Musée du Montréal Juif,Museum,5220 St-Laurent Blvd,476.0
Rio Theatre,Vancouver,British Columbia,La Petite Maison des Arts,"Museum,Non-Profit Organization",88 Saint-Joseph Blvd O,497.0
Rio Theatre,Vancouver,British Columbia,Musee des Pompiers de Montreal Caserne 30,Museum,5100 Saint-Laurent Blvd,505.0
Rio Theatre,Vancouver,British Columbia,Centre d'art et de Diffusion Clark,Museum,5455 de Gaspe Ave,803.0
Berlin Nightclub,Ottawa,Ontario,,,,
The Arena at TD Place,Ottawa,Ontario,,,,
CAA Centre,Brampton,Ontario,,,,
Vogue Theatre,Vancouver,British Columbia,,,,
Vogue Theatre-BC,Vancouver,British Columbia,,,,
South Okanagan Events Centre,Penticton,British Columbia,,,,
The Venue,Peterborough,Ontario,,,,
Supermarket,Toronto,Ontario,BC Sports Hall of Fame,Museum,Gate Aaa Bc Pl,744.0
Supermarket,Toronto,Ontario,Bill Reid Gallery of Northwest Coast Art,Museum,639 Hornby St,539.0
Supermarket,Toronto,Ontario,Vancouver New Music Society,Art Museum,837 Davie St,465.0
Supermarket,Toronto,Ontario,Engine 374 Pavillion,History Museum,181 Roundhouse Mews,749.0
Supermarket,Toronto,Ontario,Informa Canada,Exhibit,1185 Georgia St W,805.0
Supermarket,Toronto,Ontario,Audain Gallery,"Art Gallery,Museum,Public Art,College and University",149 Hastings St W,882.0
Supermarket,Toronto,Ontario,Word Vancouver,"Exhibit,Non-Profit Organization",207 Hastings St W,921.0
Supermarket,Toronto,Ontario,B C Book Prizes,Art Museum,207 Hastings St W,928.0
Supermarket,Toronto,Ontario,BC Ferries,"Museum,Office,Public Transportation",1010 Canada Pl,990.0
Supermarket,Toronto,Ontario,The British Columbia Regiment - Duke of Connaugh t's Own Museum Society,Museum,620 Beatty St,806.0
Centre Videotron,Quebec,Quebec,,,,
Rogers Place,Edmonton,Alberta,,,,
Ovintiv Events Centre,Dawson Creek,British Columbia,,,,
The Banquet,Edmonton,Alberta,,,,
Winspear Centre,Edmonton,Alberta,Royal Alberta Museum,Museum,9810 103A Ave NW,444.0
Winspear Centre,Edmonton,Alberta,Art Gallery of Alberta,"Art Gallery,Museum,Art School,Restaurant",2 Sir Winston Churchill Sq NW,585.0
Winspear Centre,Edmonton,Alberta,Prince of Wales Armouries Heritage Centre,"Museum,Historic and Protected Site",10440 108 Avenu,798.0
Winspear Centre,Edmonton,Alberta,Telephone Historical Centre,Science Museum,10440 108 Ave,657.0
Winspear Centre,Edmonton,Alberta,City of Edmonton Archives,History Museum,10440 108 Ave NW,813.0
Winspear Centre,Edmonton,Alberta,Neon Sign Museum,Museum,104 St NW,182.0
Winspear Centre,Edmonton,Alberta,Loyal Edmonton Regiment Museum,History Museum,10440 108 Ave NW,818.0
BILTMORE CABARET,Vancouver,British Columbia,,,,
Dominion Tavern,Ottawa,Ontario,,,,
MACEWAN BALLROOM,Calgary,Alberta,,,,
The Palace Theatre,Calgary,Alberta,,,,
The Cave ,Toronto,Ontario,,,,
Southern Alberta Jubilee Auditorium,Calgary,Alberta,,,,
Sidelines Bar & Grill,Coaldale,Alberta,,,,
The Studio,Hamilton,Ontario,,,,
Park Theatre - Winnipeg,Winnipeg,Manitoba,Ruthven Park National Historic Site,"History Museum,Monument,Vintage and Thrift Store",243 Haldimand Hwy,916.0
3030,Toronto,Ontario,,,,
Avenir Centre,Moncton,New Brunswick,,,,
Noir (Rebel Entertainment Complex),Toronto,Ontario,,,,
Rickshaw Theatre,Vancouver,British Columbia,,,,
Cinéma Impérial,Montreal,Quebec,,,,
Budweiser Gardens,London,Ontario,,,,
Tribute Communities Centre,Oshawa,Ontario,,,,
Queen Elizabeth Theatre,Vancouver,British Columbia,,,,
Clarke Theatre,Mission,British Columbia,,,,
eVents,Thunder Bay,Ontario,,,,
The Exchange,Regina,Saskatchewan,,,,
Monarch Tavern,Toronto,Ontario,,,,
FirstOntario Centre,Hamilton,Ontario,,,,
Slush Puppie Place,Kingston,Ontario,,,,
Meridian Theatres @ Centrepointe - Mainstage,Nepean,Ontario,,,,
Horseshoe Tavern - Canada,Toronto,Ontario,,,,
Caruso Club,Sudbury,Ontario,,,,
Union Hall - Edmonton,Edmonton,Alberta,,,,
The Machine Shop,Sault Ste. Marie,Ontario,,,,
The Rivoli,Toronto,Ontario,Native Women in the Arts,Museum,401 Richmond St W,216.0
The Rivoli,Toronto,Ontario,The Grange,Museum,317 Dundas St W,515.0
The Back Alley,Calgary,Alberta,,,,
Revival,Toronto,Ontario,,,,
Ground Control,Toronto,Ontario,,,,
Kingston Grand Theatre,Kingston,Ontario,Marine Museum of the Great Lakes at Kingston,Museum,53 Yonge St,741.0
Kingston Grand Theatre,Kingston,Ontario,Kingston Pump House Steam Msm,Museum,23 Ontario St,896.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Musée National des Beaux-Arts du Québec,Museum,179 Grande Allee O,673.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Societe Economusee du Quebec,Museum,503 Grande Allée E,239.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Monument de Montcalm,"Museum,Historic and Protected Site","Grande Allée, Quebec QC",325.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Conseil des Monuments et Sites du Québec,Museum,82 Grande Allee O,456.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Promenade des Ecrivains,"Museum,Tour Provider",755 Saint-Jean Rue,568.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Maison de la découverte des plaines d'Abraham,History Museum,835 Wilfrid Laurier Ave,609.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Maison de la Decouverte,"History Museum,Farm",835 Wilfrid Laurier Ave,688.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Parc des Champs de Bataille,"Museum,Landmarks and Outdoors",Quebec QC,730.0
Salle Louis-Fréchette du Grand Théâtre de Québec,Quebec,Quebec,Musee du Royal 22E Regiment,History Museum,1 Côte de la Citadelle,1018.0
Meridian Hall,Toronto,Ontario,,,,
The Concert Hall,Toronto,Ontario,Hockey Hall of Fame,Museum,30 Yonge St,55.0
The Centre in Vancouver,Vancouver,British Columbia,,,,
The Rec Room - Mississauga,Mississauga ,Ontario,RBC Glass Room,Museum,100 Queen's Pk,687.0
The Rec Room - Mississauga,Mississauga ,Ontario,The Bat Cave,Science Museum,Royal Ontario Museum,807.0
The Rec Room - Mississauga,Mississauga ,Ontario,Friends of South Asia at the Royal Ontario Mus eum,Museum,100 Queen's Pk,739.0
Revelry Food+Music Hub,Kelowna,British Columbia,BC Sports Hall of Fame,Museum,Gate Aaa Bc Pl,400.0
Revelry Food+Music Hub,Kelowna,British Columbia,Bill Reid Gallery of Northwest Coast Art,Museum,639 Hornby St,584.0
Revelry Food+Music Hub,Kelowna,British Columbia,Chinese Cultural Centre of Greater Vancouver 大溫哥華中華文化中心,History Museum,50 Pender St E,927.0
Revelry Food+Music Hub,Kelowna,British Columbia,Audain Gallery,"Art Gallery,Museum,Public Art,College and University",149 Hastings St W,520.0
Revelry Food+Music Hub,Kelowna,British Columbia,Word Vancouver,"Exhibit,Non-Profit Organization",207 Hastings St W,610.0
Revelry Food+Music Hub,Kelowna,British Columbia,B C Book Prizes,Art Museum,207 Hastings St W,617.0
Revelry Food+Music Hub,Kelowna,British Columbia,Engine 374 Pavillion,History Museum,181 Roundhouse Mews,773.0
Revelry Food+Music Hub,Kelowna,British Columbia,Vancouver New Music Society,Art Museum,837 Davie St,801.0
Revelry Food+Music Hub,Kelowna,British Columbia,Sacred Circle,Art Museum,33 Cordova St W,904.0
Revelry Food+Music Hub,Kelowna,British Columbia,"Chinese Canadian Museum, Vancouver",History Museum,27 Pender St E,942.0
Amigos,Saskatoon,Saskatchewan,,,,
Jane Mallett Theatre,Toronto,Ontario,,,,
Le Confessionnal,Quebec,Quebec,,,,
Bell Performing Arts Centre,Surrey,British Columbia,Canadian Exhibition Centre,Museum,255 Front St W,965.0
Petit Campus,Montreal,Quebec,"Rue du Petit Champlain, Québec, QC G1K","Museum,Organization",1 CôTE de la CITADELLE,811.0
Rogers Centre,Toronto,Ontario,,,,
Commonwealth Stadium / Stade du Commonwealth,Edmonton,Alberta,,,,
Palasad Social Bowl ,London,Ontario,,,,
Warehouse Concert Hall,St.Catharines,Ontario,,,,
The Palace Theatre (Formerly Flames Central),Calgary,Alberta,Native Women in the Arts,Museum,401 Richmond St W,227.0
The Palace Theatre (Formerly Flames Central),Toronto,Ontario,The Grange,Museum,317 Dundas St W,563.0
UBC - Doug Mitchell Thunderbird Sports Centre,Vancouver,British Columbia,,,,
Rivoli,Toronto,Ontario,,,,
Acqua Supper Club,Toronto,Ontario,,,,
Bonnyville Centennial Centre - Graham Field House,Bonnyville,Alberta,Robert F. Osborne Centre,Museum,6108 Thunderbird Blvd,109.0
Bonnyville Centennial Centre - Graham Field House,Bonnyville,Alberta,Mackenzie House,Museum,5775 Toronto Rd,449.0
Cochrane Lions Club Event Centre,Cochrane,Alberta,Canadian Broadcasting Centre,Museum,250 Front St W,772.0
Cochrane Lions Club Event Centre,Cochrane,Alberta,Canadian Exhibition Centre,Museum,255 Front St W,846.0
Garibaldi Lift Company,Whistler,British Columbia,,,,
Newspeak,Montreal,Quebec,,,,
Oakville Centre for the Performing Arts,Oakville,Ontario,,,,
Village Studios ,Vancouver,British Columbia,,,,
Geary Avenue Warehouse Project,Toronto,Ontario,,,,
GMC Stadium - Calgary,Calgary,Alberta,,,,
Centre D'Excellence Sports Rousseau,Boisbriand,Quebec,Vancouver Centre For Contemp,Museum,849 Homer St,881.0
Centre D'Excellence Sports Rousseau,Boisbriand,Quebec,Canadian Craft & Design Museum,Museum,639 Hornby St,968.0
Credit Union Place,Summerside,Prince Edward Island,,,,
Westoba Place at the Keystone Centre,Brandon,Manitoba,,,,
Colisée Vidéotron,Trois-Rivieres,Quebec,,,,
Paramount Fine Foods Centre,Mississauga,Ontario,,,,
CAA Arena,Belleville,Ontario,,,,
Brantford Civic Centre,Brantford,Ontario,,,,
UNIplex - City of Dieppe,Dieppe,New Brunswick,,,,
Mattamy Athletic Centre,Toronto,Ontario,,,,
Toronto Pan Am Sports Centre,Toronto,Ontario,,,,
The Stadium at TD Place,Ottawa,Ontario,,,,
Starlight Stadium,Victoria,British Columbia,,,,
Tim Hortons Field,Hamilton,Ontario,,,,
Stade Saputo,Montreal,Quebec,,,,
Moncton Coliseum,Moncton,New Brunswick,,,,
BMO Field,Toronto,Ontario,,,,
York Lions Stadium,Toronto,Ontario,,,,
Membertou Sports & Wellness Centre,Membertou,Nova Scotia,,,,
Spruce Meadows,Calgary,Alberta,,,,
The Wanderers Grounds,Halifax,Nova Scotia,,,,
Earl Armstrong Arena,Gloucester,Ontario,,,,
WinSport Event Centre,Calgary,Alberta,,,,
Centre sportif du Parc olympique,Montreal,Quebec,,,,
Bernie Arbour Stadium,Hamilton,Ontario,,,,
Mosaic Stadium,Regina,Saskatchewan,,,,
Blue Cross Park,Winnipeg,Manitoba,,,,
Percival Molson Stadium,Montreal,Quebec,,,,
Osprey Community Centre,Singhampton,Ontario,,,,
Hamilton Golf and Country Club,Ancaster,Ontario,Hamilton Police Svc,History Museum,314 Wilson St E,464.0
Hamilton Golf and Country Club,Ancaster,Ontario,Fieldcote Memorial Park & Museum,History Museum,64 Sulphur Springs Rd,559.0
Princess Auto Stadium,Winnipeg,Manitoba,,,,
Edmonton EXPO Centre,Edmonton,Alberta,,,,
Circuit Gilles-Villeneuve,Montreal,Quebec,,,,
Orangeville Agricultural Society (OAS) Event Centre,Orangeville,Ontario,,,,
Centre 200 ,Sydney,Nova Scotia,Cape Breton Centre For Heritage and Science,History Museum,225 George St,615.0
Victory Lane Speedway,St Adolphe,Manitoba,,,,
Clarke Stadium,Edmonton,Alberta,,,,
ODAS Park,Severn,Ontario,,,,
Brigden Fairgrounds ,Brigden,Ontario,,,,
Erin Agricultural Society,Erin,Ontario,,,,
Earl Grey Golf Club,Calgary,Alberta,,,,
Montasola Farms,Fort Erie,Ontario,,,,
Rogers Court,Montreal,Quebec,,,,
