Business ID,Name,Ratings,Pricing,Category,Distance_From_Venue,Address,City,State,Latitude,Longitude
GGxnlrfvWy7LFvjN5z_z3w,UNA Pizza + Wine- 17th,4.2,$$,Pizza,1027.6344140243752,618 17th Avenue SW,Calgary,AB,51.037965657064,-114.07544696236
ZWApHaJBGhFY9KZtr1ighg,Namsan Korean Cuisine,4.8,$$,Korean,392.9160604930756,507 10 Street SW,Calgary,AB,51.04874,-114.08615
n8apkesub_mi7v8_dytc5Q,Gyu-Kaku Japanese BBQ,4.1,$$,Japanese,619.538998681368,100-638 6th Avenue SW,Calgary,AB,51.047933,-114.076028
vfXBsj3GozkcRLe8SCVN0Q,Porch,4.6,$$,Comfort Food,915.7088740798806,730 17th Avenue SW,Calgary,AB,51.03796507784136,-114.07865495558394
7qHU_Zh5qEJP3DaaBHqWBg,Saigon Lotus,4.4,$$,Vietnamese,360.83744431880945,6 St Andrew Street,Toronto,ON,43.65449,-79.39928
Bf2fuqWbHd3L-X69FSMvmg,El Trompo Taco Bar,3.8,$$,Mexican,251.4550295201011,277 Augusta Ave,Toronto,ON,43.65591,-79.40227
jOqh0eVjqtUOpZ9AZgSazA,Grey Gardens,4.4,$$$,Wine Bars,432.04259781903136,199 Augusta Avenue,Toronto,ON,43.6537999,-79.40143
Ibp4hEKSE8JaX9OvfEiFqg,Otto's Berlin Döner,4.0,$$,German,257.7427532759655,256 Augusta Avenue,Toronto,ON,43.6563397,-79.4029066
eKznX8VTfcQrjCqXpeobiw,Rasa,4.4,$$,Canadian (New),652.3799129891527,196 Robert Street,Toronto,ON,43.6627752,-79.4039682
D-8yidw7FLKKQpciKJSd2g,The Burgernator,4.0,$$,Burgers,281.83097598136914,269 Augusta Avenue,Toronto,ON,43.6556342,-79.4024449
iGEvDk6hsizigmXhDKs2Vg,Seven Lives Tacos y Mariscos,4.4,$,Mexican,344.6772010703727,72 Kensington Avenue,Toronto,ON,43.65450536868278,-79.40074443372987
WEwf_IKutaFK2t-cdMhEWg,Thai Country Kitchen,4.0,$,Thai,162.34016095410402,412 Spadina Ave,Toronto,ON,43.6561499,-79.39968
v8Y1Cpdya8H_3noy2M-3Hw,Free Times Cafe,3.8,$$,Breakfast & Brunch,228.38001745787744,320 College Street,Toronto,ON,43.657698,-79.4030342
essCnfJ3yjXGS9snlRcYPg,The Cottage Cheese,4.5,Information not available,Indian,262.456204599357,64 Oxford Street,Toronto,ON,43.65624,-79.40284
yuAGZO0sxRcx6NBas3H0ow,Yin Ji Chang Fen,4.1,Information not available,Chinese,225.64151713058803,369 Spadina Ave,Toronto,ON,43.6558,-79.39878
47wBHgBwQ8_70sjmXow_1g,Her Father's Cider Bar & Kitchen,4.6,$$,Gastropubs,633.4813063412403,119 Harbord Street,Toronto,ON,43.66232,-79.40453
h4QP_HED7mPNVjDd2M1p3A,Yeah Yeah Thai,4.3,Information not available,Thai,266.38452780402537,382 Spadina Avenue,Toronto,ON,43.655288,-79.399358
iq5tRMXpyiR5s-BzQ-mpWQ,Hawker,4.8,Information not available,Vegan,232.11342561649369,291 Augusta Ave,Toronto,ON,43.65632,-79.4024
EEIz44ewHhOKmfTloAK13g,Alo Restaurant,4.5,$$$$,Bars,1059.7343389435255,163 Spadina Avenue,Toronto,ON,43.64851,-79.39584
KR8ErN2eKUlmohxmYDLBBg,Koh Lipe,4.1,$$,Thai,578.30416072583,35 Baldwin Street,Toronto,ON,43.65586,-79.39347
sV4QGXQk77dmr-lqTcDTKQ,Rikki Tikki,4.9,Information not available,Indian,402.5545915963642,209 Augusta Avenue,Toronto,ON,43.6540813,-79.4014858
41o1FUbCYKJv2djtnlkzlg,Bar Raval,4.0,$$$,Spanish,807.2717137996792,505 College Street,Toronto,ON,43.6558432,-79.4099433
PD3ganU8NAGkqkcIXYPSxQ,Fudao noodle house,4.2,$$,Chinese,340.72212498146166,358 Spadina ave,Toronto,ON,43.65461,-79.39905
eD-XLSo-j8uIoTnIlrG8YA,Juicy Dumpling,4.3,$,Dim Sum,591.1668494484553,280 Spadina Ave,Toronto,ON,43.65252,-79.39854
_kXHHT8RMqx9Ro8gWXE9kA,Medieval Times Toronto,3.8,$$$,Dinner Theater,152.1648577436649,10 Dufferin Street,Toronto,ON,43.633528,-79.425126
_5izyrn1qV0uyec65UsdIA,LOCAL Public Eatery Liberty Village,3.9,$$,Sports Bars,761.0319474535195,171 East Liberty Street,Toronto,ON,43.6381221,-79.4181561
