Venue,Address,City,State,latitude,longitude
One Eleven,111 Princess Ave,Winnipeg,Manitoba,50.6757372,-120.3357073
Village Studios,1024 Davie Street,Vancouver,British Columbia,49.89884,-97.1416
St. Aidan's Anglican Church,70 Silver Birch Avenue  at Queen St. E.,Toronto,Ontario,43.651833,-79.408896
Common/UNDRGRD,132 Queens Quay E,Calgary,Alberta,49.27950169,-123.1299918
Sky Bar (Guvernment Complex),211 Bronson Ave.,Toronto,Ontario,43.672589,-79.2850311
Bronson Centre,1663 Queen St. East,Ottawa,Ontario,43.644315,-79.368478
History,"1022 Davie Street, Vancouver, BC V6E 1M3",Toronto,Ontario,45.4133914,-75.7066294
Celebrities,1 Blvd du Casino,Vancouver,British Columbia,43.66684147,-79.31351149
Theatre du Casino du Lac-Leamy,"1100, boulevard Taschereau",GATINEAU,Quebec,49.279672,-123.130293
Salle Richard-Sauvageau,972 Rue Saint-Jean ,Laprairie,Quebec,45.446179,-75.725402
Théâtre Capitole,9200 Boulevard Leduc,Québec,Quebec,45.404405,-73.50177
Le Club Square Dix30,463 Sainte-Catherine Ouest,Brossard,Quebec,46.813254,-71.2142151
Le Balcon,21 Casino Drive,Montreal,Quebec,45.445444,-73.438116
Molson Canadian Centre at Casino New/Nouveau Brunswick,1425 Regent Ave. W.,Moncton,New Brunswick,45.509192,-73.552962
Club Regent Event Centre,13103 Fort Road,Winnipeg,Manitoba,46.127985,-64.879786
Century Casino,1420 Meridian Rd NE,Edmonton,Alberta,49.8954192,-97.0441598
Meridian Central Station,12464 153 Street,Calgary,Alberta,53.5903674,-113.4331386
"The Pearl Showroom, Pure Casino Yellowhead",241 2nd Avenue South,Edmonton,Alberta,51.0651,-113.99911
Coors Event Centre,888 Durham Live Avenue,Saskatoon,Saskatchewan,53.579453,-113.585482
The Arena at Pickering Casino Resort,377 Riverside Drive East,Pickering,Ontario,52.1264372,-106.6651619
The Colosseum at Caesars Windsor,185 Queens Avenue,Windsor,Ontario,43.84332,-79.054
LONDON MUSIC HALL,317 Bank St.,London,Ontario,42.3206495,-83.0354514
Babylon,2500 University Drive NW,Ottawa,Ontario,42.98399,-81.2491481
Le Belmont,4483 St Laurent Blvd,Montreal,Quebec,45.4145315,-75.695512
Upstairs Cabaret,15 Bastion Square,Victoria,British Columbia,0.0,0.0
The Brass Monkey,250 Greenbank Avenue,Ottawa,Ontario,51.07816,-114.135801
Elements,90 King Street W.,Kitchener,Ontario,45.52013,-73.58631
The Phoenix Concert Theatre,410 Sherbourne Street,Toronto,Ontario,48.425723,-123.369465
The Starlite Room - Temple,289 Rutherford Road South,Edmonton,Alberta,45.32474,-75.77983
Spot 1 Grill & Music Hall,11455 87 Ave. NW,Brampton,Ontario,43.45058,-80.49069
Northern Alberta Jubilee Auditorium,1983 Upper Water Street,Edmonton,Alberta,43.66473,-79.3742
Casino Nova Scotia - The Bruce Guthro Theatre,11 Polson St.,Halifax,Nova Scotia,43.68571,-79.72521
REBEL,3775 Grey Eagle Drive,Toronto,Ontario,43.6644615,-79.3735993
Grey Eagle Event Centre,#500-2nd Street East,Calgary,Alberta,53.5228902,-113.5262043
West Central Events Centre,101 Queen Street North,Kindersley,Saskatchewan,44.65283433,-63.57590827
Centre in The Square,5899 Rama Road,Kitchener,Ontario,43.6415548,-79.3540246
Casino Rama Resort,777 Pacific Blvd.,Rama,Ontario,51.007506,-114.147222
BC Place,100 N. Renfrew St.,Vancouver,British Columbia,51.471023,-109.151917
PNE Forum,1 Paul Shaffer Drive,Vancouver,British Columbia,43.454274,-80.48466
Thunder Bay Community Auditorium,100 N Renfrew St,Thunder Bay,Ontario,44.6268455,-79.3518316
Meridian Arts Centre: Lyric Theatre,410 Sherbourne St,Toronto,Ontario,49.2760688,-123.1127117
Opera House-Toronto,6083 McKay Avenue,Toronto,Ontario,49.288227,-123.0440748
Hilton Vancouver Metrotown,508 Queen Street West,Burnaby,British Columbia,48.428099,-89.249792
Lee's Palace,244 1st Ave N,Toronto,Ontario,43.766031,-79.414375
The Starlight Room at The El Mocambo,"305, rue Ste-Catherine Ouest",Toronto,Ontario,0.0,0.0
Capitol Music Club,370 Queen St. W.,Saskatoon,Saskatchewan,49.228656,-123.004581
Le Studio TD,1197 Dundas Street West,Montréal,Quebec,43.665249,-79.409447
The Horseshoe Tavern,800 Griffiths Way,Toronto,Ontario,43.64791,-79.40149
The Garrison,1800 Argyle Street,Toronto,Ontario,43.6575661,-79.4001349
Rogers Arena,9797 Jasper Ave. NW,Vancouver,British Columbia,52.13141,-106.66384
Scotiabank Centre,67 Nicholas Street,Halifax,Nova Scotia,45.5064109,-73.5668615
Edmonton Convention Centre,300 East Lapotac Blvd,Edmonton,Alberta,43.6490438,-79.395913
Club SAW,"50 Bay Street, Suite 500",Ottawa,Ontario,43.6492732,-79.4223075
River Cree Resort & Casino,6000 Boulevard Rome,Enoch,Alberta,49.2776612,-123.1081074
Scotiabank Arena,252 Rue Saint- Joseph Est,Toronto,Ontario,44.648273,-63.576835
Théâtre Manuvie (Formerly L'Etoile),2321 Main Street,Brossard,Quebec,53.5417282,-113.4867639
Imperial Du Quebec,1608 Dundas St West,Quebec,Quebec,45.425208,-75.688675
The Fox Cabaret,50 New Gower Street,Vancouver,British Columbia,53.510174,-113.6940445
The Baby G,1909 avenue des Canadiens-de-Montréal,Toronto,Ontario,43.6439254,-79.3783234
Mary Brown's Centre,1 Elgin,St. Johns,Newfoundland and Labrador,45.441163,-73.44041
Centre Bell,"1385 Woodroffe Ave, Algonquin College - Bldg E",Montreal,Quebec,0.0,0.0
National Arts Centre / Centre national des Arts,555 Saddledome Rise SE,Ottawa,Ontario,49.26424,-123.10141
Algonquin Commons Theatre,211 Bronson Avenue,Nepean,Ontario,43.650019,-79.435404
Scotiabank Saddledome,1000 Palladium Drive,Calgary,Alberta,47.5613332,-52.7119653
Bronson Centre Theatre,2329 Crescent Way,Ottawa,Ontario,45.496129,-73.570472
Canadian Tire Centre,33800 King Rd,Kanata,Ontario,45.423237,-75.692228
Abbotsford Arts Centre,2080 United Blvd,Abbotsford,British Columbia,45.349675,-75.755817
Abbotsford Centre,1133 Queens Plate Dr,Abbotsford,British Columbia,51.0385626,-114.0524879
Great Canadian Casino Vancouver,5240 Avenue du Parc,Coquitlam,British Columbia,45.41363,-75.7064
The Theatre at Great Canadian Casino Resort Toronto,473 Adelaide St W,Toronto,Ontario,45.2965202,-75.9271956
Fairmount Theatre,1150 Queen St. West,Montreal,Quebec,49.0444648,-122.2985601
DPRTMNT,1882 Adanac Street,Toronto,Ontario,49.030235,-122.287062
Drake Underground,1660 East Broadway,Toronto,Ontario,49.227857,-122.836568
The WISE Hall,56 Byward Market Square,Vancouver,British Columbia,43.712525,-79.602042
Rio Theatre,1015 Bank St.,Vancouver,British Columbia,45.52055,-73.59846
Berlin Nightclub,7575 Kennedy Road South,Ottawa,Ontario,43.64647,-79.39689
The Arena at TD Place,918 Granville St.,Ottawa,Ontario,43.64329,-79.42463
CAA Centre,918 Granville St,Brampton,Ontario,49.277269,-123.066071
Vogue Theatre,508 Queen Street W,Vancouver,British Columbia,49.262,-123.07049
Vogue Theatre-BC,853 Eckhardt Aveunue West,Vancouver,British Columbia,45.42721,75.69269
South Okanagan Events Centre,286 George Street North,Penticton,British Columbia,45.3989201,-75.685511
The Venue,268 Augusta Ave,Peterborough,Ontario,43.6677536,-79.7111969
Supermarket,250 boulevard Wilfrid-Hamel,Toronto,Ontario,49.2800677,-123.121747
Centre Videotron,10220 - 104 Avenue,Québec,Quebec,0.0,0.0
Rogers Place,"#1, 300 Highway 2",Edmonton,Alberta,44.3023,-78.31953
Ovintiv Events Centre,10332 103 Street Northwest #210,Dawson Creek,British Columbia,43.65658,-79.40323
The Banquet,2500 University Dr Nw,Edmonton,Alberta,46.824958,-71.24762
Winspear Centre,9720 102 Ave Nw,Edmonton,Alberta,53.546911,-113.497237
BILTMORE CABARET,395 Kingsway,Vancouver,British Columbia,0.0,0.0
Dominion Tavern,33 York Street,Ottawa,Ontario,53.54536,-113.49769
MACEWAN BALLROOM,219 8th Avenue SW,Calgary,Alberta,0.0,0.0
The Palace Theatre,1415 14 Ave. NW,Calgary,Alberta,49.2599155,-123.0964901
The Cave ,913 19A Avenue,Toronto,Ontario,45.428131,-75.693909
Southern Alberta Jubilee Auditorium,3030 Dundas Street West,Calgary,Alberta,51.045402,-114.066423
Sidelines Bar & Grill,150 Canada St,Coaldale,Alberta,51.063097,-114.092031
The Studio,254 East Hastings Street,Hamilton,Ontario,49.731215,-112.602547
Park Theatre - Winnipeg,1432 Rue De Bleury,Winnipeg,Manitoba,43.2562356,-79.8724924
3030,99 Dundas Street,Toronto,Ontario,0.0,0.0
Avenir Centre,99 Dundee St.,Moncton,New Brunswick,43.665879,-79.470432
Noir (Rebel Entertainment Complex),147 Danforth Ave,Toronto,Ontario,46.085958,-64.784148
Rickshaw Theatre,99 Athol Street East Oshawa,Vancouver,British Columbia,49.280983,-123.098359
Cinéma Impérial,600 Block Hamilton St.,Montreal,Quebec,45.506619,-73.567899
Budweiser Gardens,33700 Prentis Avenue,London,Ontario,42.982341,-81.251879
Tribute Communities Centre,"201 Syndicate Ave S, ",Oshawa,Ontario,0.0,0.0
Queen Elizabeth Theatre,2431 8th Avenue,Vancouver,British Columbia,43.8993128,-78.8513168
Clarke Theatre,12 Clinton Street,Mission,British Columbia,49.2777469,-123.1174817
eVents,101 York Blvd,Thunder Bay,Ontario,49.1443331,-122.2919904
The Exchange,1 The Tragically Hip Way,Regina,Saskatchewan,48.38228,-89.24804
Monarch Tavern,101 Centrepointe Drive,Toronto,Ontario,50.456492,-104.61553
FirstOntario Centre,370 Queen Street West,Hamilton,Ontario,43.654044,-79.413561
Slush Puppie Place,385 Haig Street,Kingston,Ontario,43.2599752,-79.8728598
Meridian Theatres @ Centrepointe - Mainstage,6240-99ST,Nepean,Ontario,44.233124,-76.479607
Horseshoe Tavern - Canada,83 Huron Street,Toronto,Ontario,45.34373,-75.76186
Caruso Club,241-2nd Ave. South,Sudbury,Ontario,46.4824,-81.0093
Union Hall - Edmonton,334 Queen St. West,Edmonton,Alberta,46.51618,-84.34844
The Machine Shop,4630 MacLeod Trail South,Sault Ste. Marie,Ontario,0.0,0.0
The Rivoli,783 College Street,Toronto,Ontario,43.64929,-79.395
The Back Alley,1279 Queen St W,Calgary,Alberta,51.01186,-114.064507
Revival,218 Princess St,Toronto,Ontario,43.654701,-79.419991
Ground Control,"269, Boulevard René-Lévesque Est",Toronto,Ontario,43.64137,-79.43187
Kingston Grand Theatre,1 Front Street East,Kingston,Ontario,44.232052,-76.48645
Salle Louis-Fréchette du Grand Théâtre de Québec,211 Bronson Ave,Québec,Quebec,46.806397,-71.2216
Meridian Hall,The Masonic Temple,Toronto,Ontario,43.64913,-79.42235
The Concert Hall,777 Homer St.,Toronto,Ontario,43.6468182,-79.3766657
The Centre in Vancouver,100 City Centre Drive #1-705,Vancouver,British Columbia,0.0,0.0
The Rec Room - Mississauga,1383 Ellis St,Mississauga ,Ontario,43.67308,-79.38842
Revelry Food+Music Hub,806 Dufferin Avenue,Kelowna,British Columbia,49.2796662,-123.1166474
Amigos,27 Front Street East,Saskatoon,Saskatchewan,43.59333,-79.642227
Jane Mallett Theatre,"972, rue Saint-Jean",Toronto,Ontario,49.88958,-119.49304
Le Confessionnal,529 Bloor St. W.,Québec,Quebec,52.11669,-106.65415
Bell Performing Arts Centre,6250 144 St.,Surrey,British Columbia,43.6470384,-79.3754585
Petit Campus,57 Prince Arthur St. E,Montreal,Quebec,46.813147,-71.214164
Rogers Centre,1 Blue Jays Way,Toronto,Ontario,43.6654333,-79.4094974
Commonwealth Stadium / Stade du Commonwealth,11000 Stadium Rd.,Edmonton,Alberta,49.1157686,-122.8232961
Palasad Social Bowl ,777 Adelaide St N,London,Ontario,43.6417384,-79.3917447
Warehouse Concert Hall,11 Geneva Street,St Catharines,Ontario,53.5592192,-113.4735695
The Palace Theatre (Formerly Flames Central),219 - 8th Ave SW,Calgary,Alberta,43.64911,-79.39588
UBC - Doug Mitchell Thunderbird Sports Centre,6066 Thunderbird Boulevard,Vancouver,British Columbia,43.01363,-81.244049
Rivoli,334 Queen St. W.,Toronto,Ontario,43.16033,-79.24037
Acqua Supper Club,50 Prince Edward Island Crescent,Toronto,Ontario,51.0456326,-114.0670985
Bonnyville Centennial Centre - Graham Field House,4313 50 Ave,Bonnyville,Alberta,49.2607645,-123.2421803
Cochrane Lions Club Event Centre,109 Fifth Avenue,Cochrane,Alberta,43.6490694,-79.3948545
Garibaldi Lift Company,2320 London Lane,Whistler,British Columbia,43.63108492,-79.42283714
Newspeak,1403 Rue Sainte Elisabeth,Montreal,Quebec,54.268302,-110.725142
Oakville Centre for the Performing Arts,130 Navy Street,Oakville,Ontario,51.18964124,-114.4756079
Village Studios , 209 Geary Ave,Vancouver,British Columbia,50.0945022,-122.9900029
Geary Avenue Warehouse Project,2200 Stampede Trail SE,Toronto,Ontario,45.512414,-73.562097
GMC Stadium - Calgary,3600 boulevard Grande-Allee,Calgary,Alberta,0.0,0.0
Centre D'Excellence Sports Rousseau,511 Notre Dame Street,Boisbriand,Quebec,49.279417,-123.129937
Credit Union Place,1175 18th St.,Summerside,Prince Edward Island,43.6695,-79.43819
Westoba Place at the Keystone Centre,"6000, rue du Colisée",Brandon,Manitoba,45.631662,-73.85857
Colisée Vidéotron,5500 Rose Cherry Pl.,Trois-Rivières,Quebec,46.397552,-63.800708
Paramount Fine Foods Centre,265 Canifton Road,Mississauga,Ontario,49.831588,-99.962389
CAA Arena,69 Market St. South,Belleville,Ontario,46.34786,-72.55876
Brantford Civic Centre,450 Rue du College,Brantford,Ontario,43.633637,-79.655251
UNIplex - City of Dieppe,50 Carlton Street,Dieppe,New Brunswick,44.188026,-77.383595
Mattamy Athletic Centre,Military Trail and Morningside Avenue,Toronto,Ontario,43.135516,-80.264751
Toronto Pan Am Sports Centre,1015 Bank Street,Toronto,Ontario,46.09996,-64.741692
The Stadium at TD Place,1089 Langford Parkway,Ottawa,Ontario,43.662182,-79.38037
Starlight Stadium,64 Melrose Ave N,Victoria,British Columbia,43.789302,-79.194417
Tim Hortons Field,4750 Rue Sherbrooke Est,Hamilton,Ontario,45.39911174,-75.68335822
Stade Saputo,377 Killam Drive,Montreal,Quebec,48.442834,-123.520995
Moncton Coliseum,170 Princes' Blvd,Moncton,New Brunswick,43.2528622,-79.8284359
BMO Field,Ian MacDonald Boulevard,Toronto,Ontario,46.09559,-64.82987
York Lions Stadium,95 Autwen Ma'sl Awti,Toronto,Ontario,43.6326489,-79.4202924
Membertou Sports & Wellness Centre,18011 Spruce Meadows Way SW,Membertou,Nova Scotia,43.773053,-79.503552
Spruce Meadows,5819 Sackville Steet,Calgary,Alberta,46.12156573,-60.18675054
The Wanderers Grounds,2020 Ogilvie Road,Halifax,Nova Scotia,50.892539,-114.0724225
Earl Armstrong Arena,88 Canada Olympic Road SW,Gloucester,Ontario,44.644657,-63.580688
WinSport Event Centre,3200 Rue Viau,Calgary,Alberta,45.43684,-75.60062
Centre sportif du Parc olympique,1100 Mohawk Rd E,Montreal,Quebec,51.082382,-114.215273
Bernie Arbour Stadium,1734 Elphinstone Street,Hamilton,Ontario,45.55997241,-73.55143755
Mosaic Stadium,1 Portage Ave. E.,Regina,Saskatchewan,43.22076,-79.8495
Blue Cross Park,1 Portage Avenue E,Winnipeg,Manitoba,52.1901365,-106.6780083
Percival Molson Stadium,"1260, rue Universite",Montreal,Quebec,49.8942,-97.13415
Osprey Community Centre,494196 County Road 2,Singhampton,Ontario,44.32645,-80.24569
Hamilton Golf and Country Club,232 Golf Links Road,Ancaster,Ontario,43.2214887,-79.9769782
Princess Auto Stadium,315 Chancellor Matheson Road,Winnipeg,Manitoba,49.807748,-97.143098
Edmonton EXPO Centre,7515 118 Avenue NW,Edmonton,Alberta,53.5703914,-113.4722034
Circuit Gilles-Villeneuve,1 Circuit Gilles Villeneuve,Montr??al,Quebec,0.0,0.0
Orangeville Agricultural Society (OAS) Event Centre,247090 5 Sideroad,Orangeville,Ontario,43.91924,-80.09741
Centre 200 ,481 George St,Sydney,Nova Scotia,46.136962,-60.190218
Victory Lane Speedway,952 Cartier Road,St Adolphe,Manitoba,49.67798698,-97.14586161
Clarke Stadium,11000 Stadium Road NW,Edmonton,Alberta,53.557294,-113.478269
ODAS Park,4500 Fairgrounds Road,Severn,Ontario,44.61453,-79.46478
Brigden Fairgrounds ,40 Bay Street,Brigden,Ontario,42.81173,-82.2798
Erin Agricultural Society,"2976 Brigden Rd, ",Erin,Ontario,43.77271,-80.06789
Earl Grey Golf Club,"190 Main Street,",Calgary,Alberta,50.9946646,-114.1088596
Montasola Farms,6540 20 St SW,Fort Erie,Ontario,42.93158,-79.00428
Rogers Court,1500 Stevensville Road,Montréal,Quebec,45.532854,-73.627173
CENTRE COURT - IGA STADIUM,285 Rue Gary-Carter,Montréal,Quebec,45.5357877,-73.6238962
Sobeys Stadium,1 Shoreham Drive,Toronto,Ontario,43.771766,-79.513819
Reid Field House,7825 51 St,Cold Lake,Alberta,54.448547,-110.202602
South Huron Recreation Centre Rodeo Arena,94 Victoria Street East,Exeter,Ontario,43.35229,-81.47662
Auditorium de Verdun,4110 Boul. LaSalle,Verdun,Quebec,45.462644,-73.56176
New Liskeard Fair Grounds,11 May St.,Temiskaming Shores,Ontario,47.50887,-79.67117
Purple Hill Farms,20903 Purple Hill Road,Thorndale,Ontario,43.07475,-81.09285
Royal Athletic Park,1014 Caledonia Ave,Victoria,British Columbia,48.431261,-123.35421
Northern Range,141 Millrand Road,Verner,Ontario,46.36353,-80.17722
The Royal Montreal Golf Club,25 Chemin South Ridge,Ile Bizard,Quebec,45.4933324,-73.901847
Ancaster Fairgrounds,630 Trinity Road South,Jerseyville,Ontario,43.18871,-80.04106
Atlantic Canada Venue TBD,Address TBD,Halifax,Nova Scotia,44.648948,-63.572064
Sleeman Centre,50 Woolwich St. ,Guelph,Ontario,43.547065,-80.2466593
